GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Weather Aggregation System,com.weathersystem.server.persistence,WeatherDataRepository,9,72,1,3,3,21,1,7,0,6
Weather Aggregation System,com.weathersystem.server.persistence,WeatherStationEntry,11,9,2,0,1,4,2,1,1,1
Weather Aggregation System,com.weathersystem.server.persistence,FileStorageManager,0,156,0,8,0,39,0,9,0,5
Weather Aggregation System,com.weathersystem.shared.json,JSONUtils,3,27,0,0,1,7,1,5,1,5
Weather Aggregation System,com.weathersystem.server.network,TimestampedRequest,0,6,0,0,0,1,0,1,0,1
Weather Aggregation System,com.weathersystem.server.network,ConnectionManager.ConnectionHandler,77,53,2,0,19,13,2,2,1,2
Weather Aggregation System,com.weathersystem.server.network,ConnectionManager,45,84,11,7,17,27,10,6,1,6
Weather Aggregation System,com.weathersystem.server.network,RequestDispatcher,157,37,12,2,47,10,10,3,3,3
Weather Aggregation System,com.weathersystem.utils,FileUtils,53,154,11,23,9,36,12,18,1,4
Weather Aggregation System,com.weathersystem.server.http,HttpResponseBuilder,0,67,0,0,0,22,0,4,0,4
Weather Aggregation System,com.weathersystem.server.http,HttpStatusCodes,3,0,0,0,1,0,1,0,1,0
Weather Aggregation System,com.weathersystem.server.http,HttpRequestParser,0,151,1,15,0,40,1,13,0,6
Weather Aggregation System,com.weathersystem.server,AggregationServer,78,247,9,9,27,71,11,11,3,10
Weather Aggregation System,com.weathersystem.client.common,HttpClientBase.HttpResponse,0,27,1,3,0,7,1,3,0,2
Weather Aggregation System,com.weathersystem.client.common,HttpClientBase,134,85,14,4,31,23,10,7,2,6
Weather Aggregation System,com.weathersystem.client.common,ResponseParser,1,148,3,18,0,37,3,10,0,2
Weather Aggregation System,com.weathersystem.client.common,ClientConfiguration,14,205,8,22,3,46,7,15,0,7
Weather Aggregation System,com.weathersystem.server.services,RequestOrderingService,17,168,5,15,8,48,6,15,1,10
Weather Aggregation System,com.weathersystem.server.services,DataExpiryService,79,73,9,3,22,20,8,4,2,4
Weather Aggregation System,com.weathersystem.server.services,WeatherDataService,0,180,0,16,0,43,0,16,0,8
Weather Aggregation System,com.weathersystem.shared.clock,LamportClock,0,34,0,0,0,7,0,6,0,6
Weather Aggregation System,com.weathersystem.client,ContentServer,80,95,4,8,26,28,4,7,1,4
Weather Aggregation System,com.weathersystem.client,GETClient,91,165,7,11,24,42,6,10,2,5
Weather Aggregation System,com.weathersystem.server.handlers,PutRequestHandler,13,183,2,20,3,50,2,13,0,4
Weather Aggregation System,com.weathersystem.server.handlers,GetRequestHandler,13,81,1,5,3,20,1,5,0,3
